id;sku;title;category;pegi;price;ean;image;stock;brand;language_in_game;language_on_cover;language_subtitles;usk_on_disc;release_date;manufacturer;oem;platform;genre;Band Material;Band Size;Band Width (mm);Bed Legs Material;Capacity (GB);Case Diameter (mm);Character;Club;Color;Content (cl);Content (g);Content (ml);Cup Size;Diameter (cm);Edition;Fit;Format;Gift Card Value;Grip;Grip Size;Height;Height (cm);Lenght (cm);Length;Length (cm);Length (m);Length Size (inches);Mattress Firmness;Mattress Toppers;Mattress Type;Number of Drinks;Primary Color;Region;Ringsize Circumference (mm);Season;Shoe Size (EU);Size;Size (cm);Size (EU);Suit Size;Theme;Value;Volume (L);Volume (ml);Waist Size (inches);Wheel Size (inches);Width;Width (cm);description
23986X;1183581;Ark: The ultimate survivor edition;Video Games and Consoles - PlayStation 4 - Games;;33.99;0884095202255;https://scale.coolshop-cdn.com/product-media.coolshop-cdn.com/23986X/f351f02f8d7347d98374fab8b1db1f8f.png/f/ark-ultimate-survivor-edition.png;0;;English;English;English;;2021-11-19;Nordic Games;AUSSTXBUK;PlayStation 4;Action, Fantasy;;;;;;;;;;;;;;;Standard;;;;;;;;;;;;;;;;;;English;;;;;;;;;;;;;;;;<p>•	ARK: The Ultimate Survivor Edition includes ARK: Survival Evolved, along with these huge Expansion Packs: Scorched Earth, Aberration, Extinction, and Genesis Parts 1 & 2. All updated and optimized with every improvement made since the launch of the base game, adding up to thousands of hours of gameplay!</p>
236YD9;1165405;Nattou - Rocking Horse - Fanny Deer;Toys - Baby and Toddler Toys - Rocking Horses and Rockers;;97.75;5414673296267;https://scale.coolshop-cdn.com/product-media.coolshop-cdn.com/236YD9/90cbc16f329543d58ab853fc757ccb79.jpg/f/nattou-rocking-horse-fanny-deer.jpg;1;Nattou;;;;;;Nattou;41002-11;;;;;;;;;;;Fanny Deer;;;;;;;;;;;;;;;;;;;;;;;Brown;;;;;;;;;;;;;;;;;<p><strong>If there's one thing that little kids love, it's rocking! This cute rocking animal from Nattou will surely be a favorite for the little one at home.</strong></p><p>This cute rocking animal from Nattou is created from soft plush in high quality and has a stable and safe seat for the child with a seat belt, which makes the experience both fun and safe even for small children from 10 months. The rocking animal is created in motif in one of the funny characters from the Nattou universe and created with beautiful details, such as a happy smile and friendly eyes. The rocking animal gives the child the experience of different colors and contrasts at the same time as the child gets a good swing ride.</p><p><strong>Product information:</strong></p><ul><li><p>Suitable for children aged 10-36 months</p></li><li><p>Measures approx. 65 x 35 x 55 cm</p></li><li><p>95% polyester, 5% cotton</p></li><li><p>Wipe with a damp cloth</p></li></ul>
236YU9;1165462;Nattou - Rocking Horse - Iris Koala;Toys - Baby and Toddler Toys - Rocking Horses and Rockers;;92.99;5414673631136;https://scale.coolshop-cdn.com/product-media.coolshop-cdn.com/236YU9/fe9055032c6c412bb9d324acb2bd3580.jpg/f/nattou-rocking-horse-iris-koala.jpg;4;Nattou;;;;;;Nattou;41002-14;;;;;;;;;;;Iris Koala;;;;;;;;;;;;;;;;;;;;;;;Pink;;;;;;;;;;;;;;;;;<p><strong>If there's one thing that little kids love, it's rocking! This cute rocking animal from Nattou will surely be a favorite for the little one at home.</strong></p><p>This cute rocking animal from Nattou is created from soft plush in high quality and has a stable and safe seat for the child with a seat belt, which makes the experience both fun and safe even for small children from 10 months. The rocking animal is created in motif in one of the funny characters from the Nattou universe and created with beautiful details, such as a happy smile and friendly eyes. The rocking animal gives the child the experience of different colors and contrasts at the same time as the child gets a good swing ride.</p><p><strong>Product information:</strong></p><ul><li><p>Suitable for children aged 10-36 months</p></li><li><p>Measures approx. 65 x 35 x 55 cm</p></li><li><p>95% polyester, 5% cotton</p></li><li><p>Wipe with a damp cloth</p></li></ul>
236YD8;1165404;Nattou - Rocking Horse - Oscar Fox;Toys - Baby and Toddler Toys - Rocking Horses and Rockers;;96.5;5414673296274;https://scale.coolshop-cdn.com/product-media.coolshop-cdn.com/236YD8/8ad1cab471f84041b89ce6c6daa226f5.jpg/f/nattou-rocking-horse-oscar-fox.jpg;2;Nattou;;;;;;Nattou;41002-10;;;;;;;;;;;Oscar Fox;;;;;;;;;;;;;;;;;;;;;;;Orange;;;;;;;;;;;;;;;;;<p><strong>If there's one thing that little kids love, it's rocking! This cute rocking animal from Nattou will surely be a favorite for the little one at home.</strong></p><p>This cute rocking animal from Nattou is created from soft plush in high quality and has a stable and safe seat for the child with a seat belt, which makes the experience both fun and safe even for small children from 10 months. The rocking animal is created in motif in one of the funny characters from the Nattou universe and created with beautiful details, such as a happy smile and friendly eyes. The rocking animal gives the child the experience of different colors and contrasts at the same time as the child gets a good swing ride.</p><p><strong>Product information:</strong></p><ul><li><p>Suitable for children aged 10-36 months</p></li><li><p>Measures approx. 65 x 35 x 55 cm</p></li><li><p>95% polyester, 5% cotton</p></li><li><p>Wipe with a damp cloth</p></li></ul>
AJ7249;146897;L'Oréal - Double Extension  Mascara - Beauty Tubes - Black;Beauty - Makeup - Eyes - Mascaras;;4.75;3600521345863;https://scale.coolshop-cdn.com/product-media.coolshop-cdn.com/AJ7249/5998bccd6e54456bb1ab3879a2138182.jpg/f/loreal-double-extension-mascara-beauty-tubes-black.jpg;1371;L'Oréal;;;;;;Loréal;A3648901;;;;;;;;;;;Black;;;;;;;;;;;;;;;;;;;;;;;Black;;;;;;;;;;;;;;;;;<p>This L'Oréal Double Extension mascara suits you who will build and color the lashes. There are two steps in this masacara for maximum volume and length. This 2-phase mascara gives intensity to the lashes and up to 60% visible longer lashes. The two steps make it simple by getting amazing lashes every day. Start applying the strengthening white baths that contain Ceramides, then apply the mascara with the black pigments that give a nice and intense look.</p><p><strong>Application:</strong></p><ul><li>Apply the white reinforcing base with ceramides</li><li>Apply the red mascara that contains carbon black pigments</li></ul><p><strong>Benefits:</strong></p><ul><li>L'Oréal Double Extension mascara</li><li>Buildes and colors</li><li>2 phase mascara</li><li>60% visually longing lashes</li><li>Strengthens and extends your lashes</li><li>Provides a nice intense look</li></ul><p><p><strong>L'Oréal</strong></p><p>The L'Oréal Paris Brand Division of L'Oréal Canada Inc. is a total beauty care company that combines the latest in technology with the highest in quality for the ultimate in luxury beauty. L'Oréal was founded by Eugène Schueller in 1909 and has since become the number one cosmetic group in the world. L'Oréal Paris is a truly global beauty brand with many internationally renowned products. For most, the name L'Oréal is immediately evocative of the brand's signature phrase, Because I'm Worth It. . Today, it represents the essence of the L'Oréal Paris brand as a whole, a spirit which is about helping every woman embrace her unique beauty while reinforcing her innate sense of self-worth. As the biggest beauty brand in the world, L'Oréal Paris has an unparalleled commitment to technology, research and innovation, providing groundbreaking, high-quality products for women, men, and children of all ages and ethnicities. </p><p>L'Oréal offers all types of beauty products within major beauty categories makeup, skin care and hair care. The worldwide success of legendary franchises such as Color Riche lipstick, Revitalift skin care or Men Expert skin care for men, reflect in particular L'Oréal's unique expertise within beauty products.</p></p>
237G9B;1170049;Elizabeth Arden - Ceramide Capsules Vitamin C - 30 PCS;Beauty - Skin care - Face - Oils & Serums;;22.5;0085805231941;https://scale.coolshop-cdn.com/product-media.coolshop-cdn.com/237G9B/213490d4eed74306807f7f12e92f5c99.jpg/f/elizabeth-arden-ceramide-capsules-vitamin-c-30-pcs.jpg;27;Elizabeth Arden;;;;;;Elizabeth Arden;;;;;;;;;;;;;;;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<p>Elizabeth Arden Ceramide Capsules Vitamin&nbspC contains fat-soluble Vitamin C, which fights free radicals and at the same time has a lightening effect on the skin. The ceramide content strengthens the skin and its moisture barrier and helps to give a healthy skin in balance. A serum that makes the skin more vibrant, while protecting against premature aging.&nbspThe serum in the capsules has a silky soft consistency, which is quickly absorbed into the skin.</p>
237G9C;1170050;Elizabeth Arden - Ceramide Capsules Vitamin C - 60 PCS;Beauty - Skin care - Face - Oils & Serums;;43.5;0085805231934;https://scale.coolshop-cdn.com/product-media.coolshop-cdn.com/237G9C/959990095d5841aba4cff2b754827f35.jpg/f/elizabeth-arden-ceramide-capsules-vitamin-c-60-pcs.jpg;30;Elizabeth Arden;;;;;;Elizabeth Arden;;;;;;;;;;;;;;;60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<p>Elizabeth Arden Ceramide Capsules Vitamin&nbspC contains fat-soluble Vitamin C, which fights free radicals and at the same time has a lightening effect on the skin. The ceramide content strengthens the skin and its moisture barrier and helps to give a healthy skin in balance. A serum that makes the skin more vibrant, while protecting against premature aging.&nbspThe serum in the capsules has a silky soft consistency, which is quickly absorbed into the skin.</p>
238G6X;1177873;Grand Theft Auto: San Andreas (Import);Video Games and Consoles - PlayStation 3 - Games;18+;10.99;0710425476945;https://scale.coolshop-cdn.com/product-media.coolshop-cdn.com/238G6X/d88f3d1912ce4ac3818fc5c80ab7e555.jpg/f/grand-theft-auto-san-andreas-import.jpg;895;;English;English;English;18+;2015-12-01;Rockstar;;PlayStation 3;Open World;;;;;;;;;;;;;;;Standard;;;;;;;;;;;;;;;;;;Import;;;;;;;;;;;;;;;;<p>Five years ago Carl Johnson escaped from the pressures of life in Los Santos, San Andreas, a city tearing itself apart with gang trouble, drugs and corruption. Where filmstars and millionaires do their best to avoid the dealers and gangbangers.</p><p>Now, it's the early 90's. Carl's got to go home. His mother has been murdered, his family has fallen apart and his childhood friends are all heading towards disaster. On his return to the neighborhood, a couple of corrupt cops frame him for homicide. CJ is forced on a journey that takes him across the entire state of San Andreas, to save his family and to take control of the streets.</p>
BE2WV4;67775;MX vs ATV Alive;Video Games and Consoles - PlayStation 3 - Games;3+;9.99;9006113004028;https://scale.coolshop-cdn.com/product-media.coolshop-cdn.com/BE2WV4/a07fe90e3f1c42d7a7f0ed04c58e6213.jpg/f/mx-vs-atv-alive.jpg;85;;English;English;;0+;2011-05-13;THQ;THQ;PlayStation 3;Racing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<p>	Own the competition as you wrestle for position with tightly contested racing in the fifth iteration of the MX vs ATV franchise. Feel the realism of the revolutionary real-world physics engine which has defined the racing genre. Live the sport as Alive captures the spectacle of motocross and the essence of competitive racing while providing the best riders and gear from the latest manufacturers.<br></p><ul>	<li>Experience total control of both rider and bike with easier controls as part of the enhanced Rider Reflex.</li>	<li>An advanced real-time deformation continuously changes the track beneath you with every lap.</li>	<li>Wreck-avoidance lets you correct collisions and landings to race like a pro.</li>	<li>Go bar-to-bar with in-your-face motocross racing.</li>	<li>Rider-to-Rider collisions and win/loss conditions through a new bar banging system.</li>	<li>Real riders, real gear, and real licensors to be announced.</li>	<li>Vehicles to be announced.</li>	<li>Compete in the Nationals and claim the Motocross Championship title.</li>	<li>Additional event types to be announced.<br>	</li></ul>
235NG6;1155211;UFC 4;Video Games and Console